node,x,y,potential,predefined
1,0.0,0.0,0.0,y
2,0.02,0.0,0.0,y
3,0.04,0.0,0.0,y
4,0.06,0.0,0.0,y
5,0.08,0.0,0.0,y
6,0.1,0.0,0.0,y
7,0.12,0.0,0.0,y
8,0.14,0.0,0.0,y
9,0.16,0.0,0.0,y
10,0.18,0.0,0.0,y
11,0.2,0.0,0.0,y
12,0.0,0.026667,0.0,y
13,0.02,0.026667,0.865991018896
14,0.04,0.026667,1.68922386622
15,0.06,0.026667,2.3706348127
16,0.08,0.026667,2.74288292194
17,0.1,0.026667,2.8568646391
18,0.12,0.026667,2.74288292194
19,0.14,0.026667,2.3706348127
20,0.16,0.026667,1.68922386622
21,0.18,0.026667,0.865991018896
22,0.2,0.026667,0.0,y
23,0.0,0.053333,0.0,y
24,0.02,0.053333,1.80796171533
25,0.04,0.053333,3.63050433211
26,0.06,0.053333,5.29078637383
27,0.08,0.053333,5.94478889161
28,0.1,0.053333,6.11887781018
29,0.12,0.053333,5.94478889161
30,0.14,0.053333,5.29078637383
31,0.16,0.053333,3.63050433211
32,0.18,0.053333,1.80796171533
33,0.2,0.053333,0.0,y
34,0.0,0.08,0.0,y
35,0.02,0.08,2.72404597194
36,0.04,0.08,5.86032264529
37,0.06,0.08,10.0,y
38,0.08,0.08,10.0,y
39,0.1,0.08,10.0,y
40,0.12,0.08,10.0,y
41,0.14,0.08,10.0,y
42,0.16,0.08,5.86032264529
43,0.18,0.08,2.72404597194
44,0.2,0.08,0.0,y
45,0.0,0.12,0.0,y
46,0.02,0.12,2.72404597194
47,0.04,0.12,5.86032264529
48,0.06,0.12,10.0,y
49,0.08,0.12,10.0,y
50,0.1,0.12,10.0,y
51,0.12,0.12,10.0,y
52,0.14,0.12,10.0,y
53,0.16,0.12,5.86032264529
54,0.18,0.12,2.72404597194
55,0.2,0.12,0.0,y
56,0.0,0.146667,0.0,y
57,0.02,0.146667,1.80796171533
58,0.04,0.146667,3.63050433211
59,0.06,0.146667,5.29078637383
60,0.08,0.146667,5.94478889161
61,0.1,0.146667,6.11887781018
62,0.12,0.146667,5.94478889161
63,0.14,0.146667,5.29078637383
64,0.16,0.146667,3.63050433211
65,0.18,0.146667,1.80796171533
66,0.2,0.146667,0.0,y
67,0.0,0.173333,0.0,y
68,0.02,0.173333,0.865991018896
69,0.04,0.173333,1.68922386622
70,0.06,0.173333,2.3706348127
71,0.08,0.173333,2.74288292194
72,0.1,0.173333,2.8568646391
73,0.12,0.173333,2.74288292194
74,0.14,0.173333,2.3706348127
75,0.16,0.173333,1.68922386622
76,0.18,0.173333,0.865991018896
77,0.2,0.173333,0.0,y
78,0.0,0.2,0.0,y
79,0.02,0.2,0.0,y
80,0.04,0.2,0.0,y
81,0.06,0.2,0.0,y
82,0.08,0.2,0.0,y
83,0.1,0.2,0.0,y
84,0.12,0.2,0.0,y
85,0.14,0.2,0.0,y
86,0.16,0.2,0.0,y
87,0.18,0.2,0.0,y
88,0.2,0.2,0.0,y
