 itr,           flux,              f
   0,    0.000000e+00,   5.189596e+159
   1,    2.652821e-05,    2.412526e+12
   2,    4.953458e-05,    2.092242e+12
   3,    6.947417e-05,    1.813344e+12
   4,    8.674118e-05,    1.570294e+12
   5,    1.016785e-04,    1.358425e+12
   6,    1.145850e-04,    1.173743e+12
   7,    1.256977e-04,    1.010615e+12
   8,    1.351857e-04,    8.628503e+11
   9,    1.430702e-04,    7.170374e+11
  10,    1.492810e-04,    5.648218e+11
  11,    1.538968e-04,    4.197706e+11
  12,    1.568587e-04,    2.693576e+11
  13,    1.587038e-04,    1.677960e+11
  14,    1.598532e-04,    1.045283e+11
  15,    1.605692e-04,    6.511573e+10
  16,    1.609336e-04,    3.314011e+10
  17,    1.611084e-04,    1.589189e+10
  18,    1.611922e-04,    7.620726e+09
  19,    1.612323e-04,    3.654394e+09
  20,    1.612516e-04,    1.752390e+09
  21,    1.612609e-04,    8.403087e+08
  22,    1.612653e-04,    4.029316e+08
  23,    1.612674e-04,    1.931930e+08
  24,    1.612684e-04,    9.261552e+07
  25,    1.612689e-04,    4.438487e+07
  26,    1.612692e-04,    2.125648e+07
  27,    1.612693e-04,    1.016556e+07
