iteration,r_norm_inf,r_norm_2,iterations,free_nodes,Potential
1,8.18361060341,25.0627583358
2,5.13650517019,14.5131241465
3,2.57546400819,9.7596114273
4,1.38318001279,4.70617278135
5,0.438204945333,1.62539580196
6,0.169926229332,0.502353804782
7,0.116094310407,0.266467972744
8,0.0176286764949,0.0450564036647
9,0.00132661732061,0.00620472181018
10,0.00056912378714,0.00175169710496
11,2.82008041186e-05,0.000141268110165
12,7.1054273576e-15,2.08804588444e-14
,,,12,44,4.09565378494

iteration,r_norm_inf,r_norm_2,iterations,free_nodes,Potential
1,10.325679398,30.0208866961
2,6.47567958583,20.6574057477
3,3.8966250679,13.2363141634
4,2.7978005035,9.63614236425
5,1.45887948914,6.71221502734
6,0.898740328632,3.184684468
7,0.327873914563,1.18857030636
8,0.121197566414,0.429886043647
9,0.0439228582527,0.217788483514
10,0.0465229918304,0.119471733847
11,0.00846956835237,0.0413006947972
12,0.00279394114529,0.0139164114934
13,0.00110224556886,0.00592577148439
14,0.000199402832219,0.000991881212893
15,5.95812156048e-05,0.000256163195415
16,1.37762021444e-05,7.29983813124e-05
17,3.61276858252e-06,1.88778678002e-05
18,2.08861406836e-07,1.04213813717e-06
19,2.18205169489e-08,1.27585268503e-07
20,6.9166734562e-09,2.61897634934e-08
21,8.74411654195e-13,2.30802397032e-12
,,,21,84,4.0293004267

iteration,r_norm_inf,r_norm_2,iterations,free_nodes,Potential
1,9.36213393735,29.8382951171
2,5.50596318552,20.5154416018
3,3.92564655865,16.388296782
4,2.721480248,12.7262390045
5,1.91587368279,9.546176865
6,1.29149355425,7.08993132776
7,0.705021392098,4.44924744678
8,0.451771811091,2.43286414264
9,0.219669386404,1.37923243098
10,0.123833892228,0.780344062069
11,0.0521634432799,0.381431814695
12,0.0384566529843,0.214572409552
13,0.0275625076448,0.12842805177
14,0.0297434953465,0.0897720842581
15,0.0124140275703,0.0553926363676
16,0.00607623687502,0.0299757243938
17,0.00515458045091,0.0188559735863
18,0.0013895047896,0.00488848040984
19,0.000368153427653,0.00179264623657
20,8.28581292568e-05,0.000381185874023
21,2.15209919023e-05,0.000169976583681
22,1.63823135653e-05,7.65718436738e-05
23,5.14191958745e-06,3.54630165832e-05
24,2.4787697126e-06,9.71425967275e-06
25,1.054702647e-06,3.10848818559e-06
26,2.40998533574e-07,9.18929197885e-07
27,4.95116765364e-08,2.4083923122e-07
28,1.48969137026e-08,9.01073537342e-08
29,2.70215005926e-09,1.35821670424e-08
30,7.93478616146e-10,3.18012273275e-09
31,7.93285437339e-11,4.80016345388e-10
32,2.31130670159e-11,1.33495354824e-10
33,6.32338625906e-12,3.76245175973e-11
,,,33,144,4.04924234227

iteration,r_norm_inf,r_norm_2,iterations,free_nodes,Potential
1,12.209837317,34.263216898
2,8.30948586911,23.3001020231
3,5.99065510907,18.2041315625
4,4.62738339718,15.3861770968
5,1.92165743584,12.1115916564
6,1.92373760458,10.4894680322
7,1.03839925604,8.12286570546
8,0.911752883587,6.71218805173
9,0.563234479084,4.67241810303
10,0.400319670843,2.75008212147
11,0.247921595963,1.54696690936
12,0.123197455427,0.930317270656
13,0.0827992376218,0.610509292448
14,0.0477671630543,0.353681969288
15,0.0324851535158,0.228501977804
16,0.0254047286653,0.157243908657
17,0.0237879118062,0.109383864448
18,0.0214270036878,0.0764056688121
19,0.0111347805396,0.0503425184103
20,0.00650612574737,0.0282198245468
21,0.00349135081759,0.0197258654358
22,0.00185764200609,0.00733988151003
23,0.000718440238518,0.00331103660398
24,0.000170630880921,0.00118301422509
25,7.89649056494e-05,0.000574484305618
26,4.18034722323e-05,0.000268246693068
27,2.68894285842e-05,0.00012950666898
28,1.46583600298e-05,7.24686889132e-05
29,7.72164909213e-06,3.83337337783e-05
30,3.28331701738e-06,1.7193940429e-05
31,1.48011547607e-06,6.14644456303e-06
32,7.89532391021e-07,3.25481223622e-06
33,2.53167093178e-07,1.22210917334e-06
34,8.12999521038e-08,3.44406190716e-07
35,1.62453197561e-08,9.60075759482e-08
36,3.01552649518e-09,2.08060000385e-08
37,1.47909329229e-09,9.95576307253e-09
38,4.18119761036e-10,3.33899815962e-09
39,1.98262739559e-10,1.20008740715e-09
40,7.37150340768e-11,4.44965669934e-10
41,2.67466049308e-11,1.27682346183e-10
42,9.62696589113e-12,3.63128243972e-11
,,,42,220,4.04842418477

